actual/predicted,CH,CU,FC,FF,SI,ST
CH,81,28,0,266,7,58
CU,30,15,0,115,7,22
FC,0,0,0,0,0,0
FF,90,18,0,632,18,100
SI,3,0,0,92,23,33
ST,29,12,0,249,15,109
