actual/predicted,CH,CU,FC,FF,SI,SL
CH,259,56,0,7,74,19
CU,398,134,18,6,111,102
FC,0,0,0,0,0,0
FF,3,0,0,0,0,0
SI,486,72,18,16,346,73
SL,27,9,5,0,9,12
