actual/predicted,CH,CU,FC,FF,FS,KC,SI,SL
CH,0,0,0,0,0,0,0,0
CU,0,108,34,0,0,0,8,0
FC,0,0,0,0,0,0,0,0
FF,0,299,432,0,0,0,38,0
FS,0,291,96,0,2,0,14,0
KC,0,0,0,0,0,0,0,0
SI,0,7,12,0,0,0,0,0
SL,0,246,463,0,0,0,23,0
