actual/predicted,CH,CU,FC,FF,SI,SL
CH,223,96,0,9,83,4
CU,309,222,17,14,166,41
FC,0,0,0,0,0,0
FF,1,0,0,0,2,0
SI,424,133,19,26,361,48
SL,22,15,3,2,14,6
