actual/predicted,CH,CU,FC,FF,FS,KC,SI,SL
CH,0,0,0,0,0,0,0,0
CU,0,2,1,68,11,4,0,64
FC,0,0,0,0,0,0,0,0
FF,0,6,6,485,38,14,6,214
FS,0,2,3,185,33,8,0,172
KC,0,0,0,0,0,0,0,0
SI,0,0,0,11,1,0,0,7
SL,0,3,2,408,39,23,3,254
