actual/predicted,CH,CU,FC,FF,SI,SL
CH,19,132,0,0,261,3
CU,23,355,0,0,373,18
FC,0,0,0,0,0,0
FF,0,2,0,0,1,0
SI,17,138,0,0,853,3
SL,0,24,0,0,35,3
