actual/predicted,CH,CU,FC,FF,SI,SL
CH,17,66,70,9,252,1
CU,24,156,120,13,429,27
FC,0,0,0,0,0,0
FF,1,0,0,0,2,0
SI,13,122,201,20,640,15
SL,3,4,7,2,40,6
