actual/predicted,CH,CU,FC,FF,SI,SL
CH,1,0,10,0,111,85
CU,0,1,0,0,6,1
FC,3,0,8,20,367,144
FF,0,0,0,3,14,10
SI,1,0,32,21,320,227
SL,0,0,32,14,390,252
