actual/predicted,CH,CU,FC,SI,SL,ST
CH,163,9,34,0,4,4
CU,158,26,47,67,62,33
FC,379,46,248,218,117,77
SI,4,1,3,90,43,17
SL,6,1,5,56,99,12
ST,1,0,0,5,0,34
