actual/predicted,CH,CU,FC,FF,FS,SI,SL,ST
CH,0,1,4,0,81,9,0,7
CU,1,16,14,2,182,63,5,63
FC,0,10,19,3,207,43,3,70
FF,0,6,11,1,158,32,0,20
FS,0,0,1,0,33,0,0,4
SI,1,23,23,2,297,373,13,186
SL,1,4,2,0,19,19,1,21
ST,0,2,9,0,19,18,1,66
