actual/predicted,CH,FC,FF,KC,SI,SL
CH,44,0,216,107,0,32
FC,1,0,0,1,0,0
FF,45,1,631,257,0,108
KC,42,1,307,145,0,76
SI,0,0,30,27,0,22
SL,9,1,150,70,0,45
