actual/predicted,CH,CU,FC,FF,SI,SL
CH,142,19,133,184,69,7
CU,24,7,53,64,25,1
FC,83,17,125,144,50,3
FF,86,7,111,161,46,6
SI,63,6,68,87,26,5
SL,24,2,44,34,19,2
