actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,40,22,40,61,3,0,1
CU,49,45,108,100,33,0,33
FC,6,13,157,18,43,0,13
FF,63,50,134,146,36,0,23
SI,8,17,122,20,85,0,56
SL,1,0,21,0,10,0,6
ST,11,19,28,13,71,0,208
