actual/predicted,CH,FC,FF,SI,SL,ST
CH,0,0,0,0,0,0
FC,0,6,39,82,47,2
FF,0,1,69,78,73,7
SI,0,16,168,411,235,29
SL,0,12,96,282,201,22
ST,0,5,31,140,87,12
