actual/predicted,CH,FC,FF,SI,SL,ST
CH,0,0,0,0,0,0
FC,0,17,36,68,45,10
FF,0,11,52,71,86,8
SI,0,68,134,374,246,37
SL,0,40,76,240,215,42
ST,0,12,31,114,101,17
