actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,59,24,122,24,13,0,6
CU,53,72,164,31,52,0,12
FC,50,59,360,36,63,0,9
FF,25,28,99,43,34,0,12
SI,26,14,153,8,130,0,10
SL,5,4,9,2,10,0,1
ST,18,22,101,13,64,0,15
