actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,79,0,74,5,0,0,9
CU,92,3,209,11,7,0,46
FC,20,0,195,10,5,0,20
FF,124,5,237,6,12,0,68
SI,17,0,179,5,23,0,84
SL,1,0,30,0,1,0,6
ST,52,3,122,7,31,0,135
