actual/predicted,CH,CU,FC,FF,FS,SI,SL,ST
CH,0,29,16,1,15,39,2,0
CU,1,89,53,5,30,153,1,14
FC,1,77,81,8,34,132,2,20
FF,0,60,31,4,29,99,1,4
FS,0,7,5,0,11,14,0,1
SI,3,120,81,4,41,641,4,24
SL,0,11,8,0,3,42,0,3
ST,1,12,16,1,3,68,0,14
