actual/predicted,CH,FC,FF,FS,KC,SI,SL
CH,4,0,12,5,5,2,13
FC,0,0,0,0,0,0,0
FF,8,1,179,66,13,139,175
FS,1,0,9,13,1,6,22
KC,2,0,90,47,3,14,76
SI,4,1,102,36,6,226,162
SL,8,0,112,57,5,159,230
