actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,15,58,46,99,0,0,3
CU,3,81,66,108,0,0,5
FC,2,21,121,70,23,0,52
FF,7,90,169,370,38,0,79
SI,0,12,42,23,16,0,52
SL,0,0,0,0,0,0,0
ST,0,4,65,31,19,0,189
