actual/predicted,CH,CU,FC,FF,SI,SL
CH,413,0,39,251,0,5
CU,0,0,5,1,0,0
FC,116,0,151,151,0,5
FF,226,0,93,454,1,6
SI,1,0,60,20,1,1
SL,3,0,54,9,0,6
