actual/predicted,CH,CU,FC,FF,FS,SI,ST
CH,0,0,0,0,0,0,0
CU,0,4,0,8,130,0,80
FC,0,2,0,14,103,0,71
FF,0,7,0,47,403,11,471
FS,0,2,0,4,100,0,95
SI,0,1,0,5,74,13,306
ST,0,1,0,4,104,7,230
