actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,99,9,43,14,2,0,0
CU,140,25,124,26,16,0,37
FC,20,6,174,11,22,0,17
FF,157,22,159,61,25,0,28
SI,23,15,148,12,54,0,56
SL,0,0,26,1,8,0,3
ST,28,24,48,5,42,0,203
