actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,67,51,90,8,1,0,4
CU,36,61,136,15,3,0,12
FC,10,22,78,10,65,0,104
FF,74,107,278,47,83,0,164
SI,1,11,23,12,22,0,76
SL,0,0,0,0,0,0,0
ST,2,8,23,5,40,0,230
