actual/predicted,CH,CU,FC,FF,FS,SI,ST
CH,7,1,3,0,0,0,0
CU,23,53,40,14,59,33,16
FC,51,40,108,31,47,36,6
FF,58,81,204,131,134,206,114
FS,0,10,1,8,52,2,15
SI,18,16,9,16,24,201,113
ST,2,10,8,9,17,79,102
