actual/predicted,CH,FF,KC,SI,SL,ST
CH,0,4,0,0,0,0
FF,5,644,17,0,400,17
KC,3,148,1,0,60,1
SI,1,43,1,0,52,2
SL,6,503,9,0,474,12
ST,1,37,0,0,54,7
