actual/predicted,CH,CU,FC,FF,FS,SI,ST
CH,0,0,0,0,0,0,0
CU,0,17,7,118,66,5,9
FC,0,14,5,125,41,5,0
FF,0,37,17,503,118,72,192
FS,0,17,3,90,52,15,24
SI,0,9,2,87,12,46,243
ST,0,12,7,81,35,36,175
