actual/predicted,CH,CU,FC,FF,SI,SL
CH,103,11,327,42,18,53
CU,25,4,133,4,3,5
FC,44,7,311,26,5,29
FF,53,4,278,31,17,34
SI,35,2,169,12,5,32
SL,10,1,70,13,6,25
