actual/predicted,CH,CS,CU,FF,SI,SL,ST
CH,162,25,2,1,13,2,32
CS,3,1,0,0,0,0,2
CU,156,37,4,5,30,22,124
FF,286,48,2,9,67,31,141
SI,83,26,0,6,42,48,150
SL,161,37,5,10,61,47,140
ST,10,0,0,0,4,6,38
