actual/predicted,CH,CU,FC,FF,SI,ST
CH,93,43,0,151,6,147
CU,34,22,0,45,7,81
FC,0,0,0,0,0,0
FF,141,62,0,282,51,322
SI,4,1,0,30,39,77
ST,50,24,0,84,34,222
