actual/predicted,CH,CU,FC,FF,SI,SL
CH,28,7,66,4,40,62
CU,0,1,1,0,2,4
FC,39,21,96,14,178,194
FF,1,2,4,4,8,8
SI,20,22,97,18,153,291
SL,36,31,149,12,139,321
