actual/predicted,CH,CU,FC,FF,SI,SL
CH,76,141,0,0,195,3
CU,91,339,0,0,329,10
FC,0,0,0,0,0,0
FF,0,3,0,0,0,0
SI,104,197,0,0,704,6
SL,9,22,0,0,31,0
