actual/predicted,CH,CU,FC,FF,SI,SL
CH,288,26,71,87,33,49
CU,59,27,25,40,9,14
FC,132,15,114,102,19,40
FF,155,14,66,129,23,30
SI,75,6,53,68,25,28
SL,27,1,41,21,8,27
