actual/predicted,CH,CU,FC,FF,SI,SL
CH,317,0,52,333,2,4
CU,1,0,1,4,0,0
FC,118,0,99,190,7,9
FF,270,0,76,418,7,9
SI,3,0,48,29,1,2
SL,6,0,41,20,1,4
