actual/predicted,CH,CU,FC,FF,SI,SL
CH,57,11,2,172,5,103
CU,14,1,0,27,1,8
FC,0,0,0,3,0,2
FF,76,22,4,571,27,198
SI,10,8,0,114,21,73
SL,57,14,1,311,16,212
