actual/predicted,CH,CU,FC,FF,SI,SL
CH,271,0,53,384,0,0
CU,2,0,0,4,0,0
FC,137,0,59,226,1,0
FF,258,0,73,444,5,0
SI,15,0,20,46,2,0
SL,10,0,20,39,3,0
