actual/predicted,CH,CU,FC,FF,SI,SL
CH,17,36,111,13,4,26
CU,0,4,2,0,0,2
FC,48,135,215,47,18,79
FF,4,3,8,4,1,7
SI,32,128,222,55,27,137
SL,40,156,257,56,25,154
