actual/predicted,CU,FC,FF,FS,KC,SI,SL,ST
CU,274,16,43,0,0,24,36,162
FC,34,2,14,0,0,23,10,124
FF,355,22,72,0,0,69,75,543
FS,2,0,0,0,0,0,1,2
KC,0,0,0,0,0,0,0,0
SI,3,0,1,0,0,5,2,43
SL,1,0,0,0,0,0,2,11
ST,45,2,8,0,0,39,22,336
