actual/predicted,CH,FF,KC,SI,SL,ST
CH,2,1,0,0,0,1
FF,193,239,66,85,288,212
KC,70,37,20,19,36,31
SI,10,15,5,11,28,30
SL,158,209,63,88,312,174
ST,5,12,6,8,27,41
