actual/predicted,CH,CU,FC,FF,SI,SL
CH,50,10,47,15,17,9
CU,0,12,1,0,0,0
FC,10,41,165,2,4,19
FF,25,17,17,134,22,16
SI,116,68,184,191,179,103
SL,94,62,178,186,87,123
