actual/predicted,CU,FC,FF,FS,KC,SI,SL,ST
CU,70,1,454,0,1,0,1,28
FC,16,2,159,0,1,0,2,27
FF,118,7,876,0,2,0,4,129
FS,2,0,3,0,0,0,0,0
KC,0,0,0,0,0,0,0,0
SI,5,2,34,0,0,0,0,13
SL,1,0,12,0,0,0,0,1
ST,29,5,359,0,1,0,3,55
