actual/predicted,CU,FC,FF,FS,KC,SI,SL,ST
CU,81,0,391,0,0,0,0,83
FC,5,0,107,0,0,0,0,95
FF,81,0,700,0,0,0,0,355
FS,0,0,5,0,0,0,0,0
KC,0,0,0,0,0,0,0,0
SI,0,0,21,0,0,0,0,33
SL,0,0,4,0,0,0,0,10
ST,11,0,154,0,0,0,0,287
