actual/predicted,CH,FF,KC,SI,SL,ST
CH,2,2,0,0,0,0
FF,201,175,80,236,299,92
KC,74,19,31,23,44,22
SI,13,4,5,42,28,7
SL,169,93,44,267,350,81
ST,3,3,6,44,23,20
