actual/predicted,CH,FF,KC,SI,SL,ST
CH,0,4,0,0,0,0
FF,18,514,8,11,532,0
KC,8,120,0,0,85,0
SI,0,36,0,5,58,0
SL,17,357,2,8,620,0
ST,2,25,0,2,70,0
