actual/predicted,CH,FC,FF,SI,SL,ST
CH,0,0,0,0,0,0
FC,0,125,7,0,0,44
FF,0,108,29,0,0,91
SI,0,556,49,0,0,254
SL,0,336,48,0,0,229
ST,0,126,16,0,0,133
