actual/predicted,CH,CU,FC,FF,SI,SL
CH,488,0,19,159,4,38
CU,1,0,4,0,1,0
FC,155,1,91,75,36,65
FF,305,1,59,320,25,70
SI,0,0,26,5,9,43
SL,3,0,15,1,14,39
