actual/predicted,CH,FC,FF,SI,SL,ST
CH,0,0,0,0,0,0
FC,0,42,59,31,13,31
FF,0,64,76,44,21,23
SI,0,193,231,209,106,120
SL,0,105,167,153,96,92
ST,0,63,70,76,31,35
