actual/predicted,CU,FC,FF,FS,KC,SI,SL,ST
CU,225,16,155,0,0,25,34,100
FC,32,7,32,0,0,23,10,103
FF,269,46,292,0,0,63,60,406
FS,2,0,2,0,0,0,0,1
KC,0,0,0,0,0,0,0,0
SI,1,1,3,0,0,5,5,39
SL,1,0,1,0,0,0,1,11
ST,37,15,74,0,0,40,17,269
