actual/predicted,CH,CU,FC,FF,SI,SL
CH,0,29,169,0,2,7
CU,0,4,4,0,0,0
FC,4,104,336,19,21,58
FF,1,3,17,3,1,2
SI,4,93,285,22,38,159
SL,4,118,360,16,13,177
