actual/predicted,CH,FC,FF,SI,SL,ST
CH,0,0,0,0,0,0
FC,0,93,23,28,11,21
FF,0,86,56,43,22,21
SI,1,331,175,167,116,69
SL,1,219,118,126,100,49
ST,0,124,49,59,25,18
