actual/predicted,CH,CU,FC,FF,FS,KC,SI,SL
CH,0,0,0,0,0,0,0,0
CU,0,49,12,8,39,3,4,35
FC,0,0,0,0,0,0,0,0
FF,0,101,52,237,125,15,12,227
FS,0,89,28,5,206,7,6,62
KC,0,0,0,0,0,0,0,0
SI,0,2,6,6,1,0,0,4
SL,0,113,56,148,128,9,11,267
