actual/predicted,CH,FC,FF,FS,KC,SI,SL
CH,2,0,2,6,1,1,29
FC,0,0,0,0,0,0,0
FF,18,12,95,49,17,43,347
FS,4,0,8,5,1,6,28
KC,10,1,42,34,4,3,138
SI,7,8,71,43,9,21,378
SL,13,8,74,47,13,21,395
