actual/predicted,CH,FF,KC,SI,SL,ST
CH,1,0,0,0,1,2
FF,39,146,7,21,350,520
KC,15,29,1,8,45,115
SI,0,13,3,8,28,47
SL,48,157,10,28,347,414
ST,2,5,2,7,30,53
