actual/predicted,CH,CU,FC,SI,SL,ST
CH,75,21,93,0,2,9
CU,97,40,192,16,31,23
FC,169,60,666,25,30,65
SI,4,11,92,37,44,3
SL,5,16,48,33,49,11
ST,0,5,19,1,12,14
