actual/predicted,CH,CU,FC,FF,SI,SL
CH,3,4,56,4,61,79
CU,0,0,1,0,2,5
FC,9,5,143,18,172,195
FF,2,0,6,2,4,13
SI,7,3,124,13,218,236
SL,3,4,162,24,169,326
