actual/predicted,CH,CU,FC,FF,SI,SL
CH,294,149,10,154,48,53
CU,0,6,0,0,0,0
FC,90,141,7,59,91,35
FF,267,219,9,122,76,87
SI,0,16,4,4,42,17
SL,1,22,3,1,32,13
