model,trained_pitchers,accuracy,macro_f1,weighted_f1
XGBoost,28,0.4176173124868824,0.2295633318222769,0.37673202053245775
HMM-style,28,0.40341402875375476,0.21115112424534369,0.35398135507428485
LDA,28,0.37142445050096057,0.2280900735206704,0.3527226907410448
LSTM,28,0.36160866746646175,0.20122739694862962,0.3335703474545714
1D CNN,28,0.361341233721384,0.22265367518063436,0.3485359151053914
KNN,28,0.3520786535356898,0.16864305733988175,0.3039409512536011
GDA,28,0.24741758770476435,0.15557789523888746,0.23266587158846705
Logistic Regression,30,0.21073642226598432,0.18582743035319452,0.22021619533910403
