actual/predicted,CH,CU,FC,FF,FS,KC,SI,SL
CH,0,0,0,0,0,0,0,0
CU,0,4,0,73,16,1,0,56
FC,0,0,0,0,0,0,0,0
FF,1,3,1,560,33,6,0,165
FS,2,6,3,116,108,0,1,167
KC,0,0,0,0,0,0,0,0
SI,0,0,1,16,0,0,0,2
SL,0,3,3,468,19,1,0,238
