actual/predicted,CH,CU,FC,FF,SI,SL
CH,178,34,55,243,40,4
CU,40,20,16,84,11,3
FC,97,21,62,191,43,8
FF,104,11,47,229,23,3
SI,42,7,33,123,45,5
SL,21,1,23,63,15,2
