actual/predicted,CH,CU,FC,SI,SL,ST
CH,79,50,68,0,3,0
CU,106,114,133,6,40,0
FC,164,232,557,12,49,1
SI,3,23,98,12,55,0
SL,9,24,61,7,58,3
ST,0,8,26,2,13,2
