actual/predicted,CH,CU,FC,FF,FS,SI,ST
CH,0,0,0,0,0,0,0
CU,0,16,14,174,13,2,3
FC,0,7,17,161,5,0,0
FF,0,17,19,746,13,111,33
FS,0,9,8,159,3,10,12
SI,0,2,5,183,6,157,46
ST,0,8,5,178,7,98,50
