actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,26,54,26,41,12,0,8
CU,32,68,60,94,60,0,54
FC,4,18,112,29,64,0,23
FF,22,79,85,165,67,0,34
SI,6,24,73,23,113,0,69
SL,0,1,10,3,13,0,11
ST,10,35,21,7,62,0,215
