actual/predicted,CH,CU,FC,FF,SI,SL
CH,482,0,21,144,1,60
CU,1,0,4,1,0,0
FC,157,0,69,61,6,130
FF,373,0,110,185,9,103
SI,1,0,20,4,0,58
SL,2,0,26,2,1,41
