actual/predicted,CH,CS,CU,FF,SI,SL,ST
CH,42,3,5,104,26,51,6
CS,2,0,0,1,3,0,0
CU,40,4,13,154,62,88,17
FF,60,4,14,266,75,136,29
SI,11,4,17,114,67,122,20
SL,43,1,18,204,53,130,12
ST,3,1,2,9,8,28,7
